costheta_jn luminosity_distance_Mpc m1_detector_frame_Msun m2_detector_frame_Msun lambda1 lambda2 spin1 spin2 costilt1 costilt2
-8.381620198786422504e-01 3.811651295589864219e+01 1.582857675231213568e+00 1.200401060459864944e+00 3.214006879521519977e+02 1.535539252515211047e+03 4.548501153031359046e-02 2.913760181283244280e-02 6.062901407411188659e-01 2.079922277016299226e-01
-8.995568633246060486e-01 4.268875135611543215e+01 1.651190151982595111e+00 1.153278321579192633e+00 5.032873462950486498e+01 2.273550355533984089e+02 1.204802925831859745e-02 2.688389091018491411e-02 3.371101319088928849e-01 9.241327904724282449e-01
-9.943452953123664839e-01 4.614026140906496920e+01 1.431934092910922995e+00 1.321967142090107794e+00 5.572323930639986145e+01 1.322897257096052499e+03 1.440938185294667571e-02 3.507218765667530214e-02 5.780034256171774354e-01 -2.446809079194932623e-01
-7.641689467501825428e-01 3.505269144470266696e+01 1.537628312925972018e+00 1.233413710707391697e+00 6.555511142572726158e+01 2.634723498452360104e+02 3.963489923240732724e-03 2.330593839781426591e-02 1.826254161537601284e-01 -2.144144409961718234e-01
-8.989615202884804201e-01 4.257303105026662138e+01 1.412394278445415097e+00 1.340024277635422978e+00 2.007640932110379310e+02 4.197173980706717202e+02 2.096055407108389154e-02 4.314437133214220343e-02 -2.632755762626385887e-01 9.091974398804750224e-02
-9.348060920059557688e-01 4.264593058224422606e+01 1.412849840489867281e+00 1.339586520211937470e+00 4.461258259078469735e+01 5.238542648819909573e+02 3.832990387812282599e-04 2.551236811424285530e-03 4.226035921846263421e-01 -4.458808811130768879e-01
-5.244925862232598934e-01 2.467166048025016067e+01 1.467852011560975667e+00 1.290231665039271336e+00 4.116230881385206999e+02 5.980737875467850699e+02 6.849530129192142602e-03 3.717385163964635839e-03 -3.635102356864565176e-01 9.068889338585632842e-01
-9.442351478836629175e-01 4.338612791879381092e+01 1.485135796676136932e+00 1.275497092924504194e+00 2.039678245125829505e+02 1.449998064387883119e+02 5.526523448788924625e-03 1.110214520261976201e-02 2.238594780204422041e-01 -6.458740270113794146e-01
-5.976329229011005939e-01 3.082813268476692059e+01 1.545386606042127076e+00 1.227668878118798101e+00 2.660600801373414015e+01 3.684839604655904282e+02 1.247917433269923361e-02 1.159820546743835223e-02 9.535213934311814743e-01 -8.716108661079662312e-01
-8.497926588434463469e-01 4.090639392433569554e+01 1.425236395953148216e+00 1.327997353970872263e+00 4.299732625834454893e+02 2.177824316833982010e+01 1.675255842299367554e-02 1.211092425438576280e-02 -9.732007866163150389e-02 -3.984282695937835794e-01
