costheta_jn luminosity_distance_Mpc m1_detector_frame_Msun m2_detector_frame_Msun lambda1 lambda2 spin1 spin2 costilt1 costilt2
-8.079436098913520548e-01 3.601159080616191943e+01 1.647013753886236165e+00 1.156073242307424254e+00 1.266900371950603343e+01 4.167275794691749411e+02 1.156333474526268501e-01 1.085163557336434222e-02 1.339218640689612272e-01 8.921679877436580197e-01
-7.906079791322097039e-01 3.496756368459101338e+01 1.558887562312241792e+00 1.217594378425200130e+00 7.681808209565181755e+01 5.240320985929168955e+02 1.531533646507867163e-01 6.066080300058071528e-02 -3.138020711401467294e-03 3.007351146733421299e-01
-9.944214215643948362e-01 4.651787066371918655e+01 1.409147228730033508e+00 1.342935686593555555e+00 6.836548462101113444e+01 1.963216288583396931e+02 1.047075655244747300e-01 2.365640260715324572e-01 2.544748353760828974e-01 -1.749824897255447820e-01
-8.994753841408128503e-01 4.298278735550510277e+01 1.711674878593314686e+00 1.115682432128882295e+00 1.520075632404167720e+02 4.175841635340699440e+02 3.715391362921899865e-01 4.375340342040980324e-01 -1.083933979439360568e-01 3.045224541919948069e-01
-6.188519438812450923e-01 3.154379795958214672e+01 1.489330964049403683e+00 1.271956023999667229e+00 6.706956317638627070e+02 1.330525852659950488e+02 8.520479549989143364e-02 2.175340645400529460e-01 3.422009161604001592e-01 -1.850423978674666514e-01
-8.833609721086149724e-01 3.984406566845605369e+01 1.872510429903124995e+00 1.028960838186937510e+00 1.961278640186682765e+02 2.838243392664124798e+01 1.206139768436062520e-02 7.341137157070578567e-01 -7.239835698915331186e-01 2.530285671064526065e-01
-9.809866787710155300e-01 4.573288927962689598e+01 1.554573426321026020e+00 1.220973853946809351e+00 2.687223135388506989e+02 7.277486361393999914e+02 2.804626205051418686e-01 1.828348478801837540e-01 5.660808506894621228e-01 -9.653843343458134996e-01
-9.726147390894432920e-01 4.473808816026962631e+01 1.574701025504494867e+00 1.206134901685501637e+00 2.306516629615671548e+02 2.577545615608346452e+02 1.425415881365287574e-01 3.488614967050283622e-01 -7.240400252862155828e-01 5.101937605988746682e-01
-9.008328441803942210e-01 4.114854051772888255e+01 1.589925713437497334e+00 1.195332181264416427e+00 9.535468243882774004e+02 5.003337003062074473e+02 3.507232676616101608e-01 2.083936501260532370e-01 -1.519149716352250212e-01 6.012187103234304386e-01
-9.167555790819880146e-01 4.183087378568367853e+01 1.379382315895128164e+00 1.371643641121564894e+00 5.301067137613373461e+02 3.178854170894380786e+02 3.183002836683642145e-01 5.479771903875830380e-02 -1.320133163828047518e-01 4.876301990731191638e-01
-8.871076425048536329e-01 4.371867605968636639e+01 1.569205579504573844e+00 1.209895054758702626e+00 3.427191180848413978e+02 6.294745379419769051e+02 9.766392030668502588e-02 3.276672494617723086e-02 2.524279041910438837e-01 -6.989018881845261433e-01
-9.553430146096860698e-01 4.424688301967867687e+01 1.383909273589556399e+00 1.367641203743480194e+00 1.286274645829051451e+03 1.388425146541908362e+03 5.672918077249305968e-01 5.259250047769551406e-01 2.272235972159985518e-01 -2.146656873957900058e-01
-9.486691340458497379e-01 4.442247144539360448e+01 1.497265633458657375e+00 1.265770309403900118e+00 1.615128428236216394e+02 4.381497213637228469e+02 1.632946894439336050e-01 1.714872687764963377e-01 -5.671614911817659532e-01 7.507381591498747397e-01
-9.851555558652539402e-01 4.582295701771665364e+01 1.472038269166852986e+00 1.286565706437625911e+00 7.340146085251437853e+02 1.696357934092794437e+02 1.269459619707230535e-01 3.245833819819797239e-01 2.563229234262924261e-01 -1.351885012102553851e-01
-6.363667547232784161e-01 3.004852282318871559e+01 1.441746788944052504e+00 1.313317390911914240e+00 5.189619540344575910e+01 2.138508926403675105e+03 3.443450009899926695e-02 7.685181855883022051e-02 5.672093342850250686e-01 -9.776902670327408673e-02
-7.678987024846304354e-01 3.571154557411615116e+01 1.730744418247340155e+00 1.104788923083713126e+00 5.975166295253328599e+02 1.300068306401245536e+03 6.239274368955031180e-01 1.011896295789970757e-01 8.335149599037497414e-02 -2.850005441044745763e-02
