# radius mass k_2
1.077215920660719561e+01 1.938441417952695867e+00 3.097948624538852253e-02
1.073631034000765183e+01 1.935607733646431017e+00 3.051036615258274909e-02
1.070054530768910084e+01 1.932127447826186950e+00 3.007284179905536994e-02
1.066497866781810622e+01 1.928035707395512333e+00 2.966598092545209495e-02
1.062886144849006165e+01 1.923330852656762513e+00 2.927770739112998261e-02
1.059179185725448846e+01 1.918101496045886201e+00 2.889883753349008905e-02
1.055395052236210773e+01 1.912429149876827550e+00 2.852860946099746928e-02
1.051547045356404197e+01 1.906368063932728063e+00 2.816760811237562986e-02
1.047645937389294524e+01 1.899959524774256447e+00 2.781543103903890216e-02
1.043700976691799021e+01 1.893237412060754687e+00 2.747209082557372159e-02
1.039720231853343435e+01 1.886230339499725295e+00 2.713772008285584084e-02
1.035710868563918652e+01 1.878963217293108556e+00 2.681229768017312151e-02
1.031679432014427888e+01 1.871458272008272194e+00 2.649578442964668767e-02
1.027631854774178777e+01 1.863735458920213084e+00 2.618816477136779591e-02
1.023573580769137692e+01 1.855812951902034103e+00 2.588930527675818369e-02
1.019509648114433453e+01 1.847707539237677610e+00 2.559953458309275481e-02
1.015444766194041293e+01 1.839434782689469694e+00 2.531860784834807920e-02
1.011383346872482036e+01 1.831009166821403022e+00 2.504594369770714313e-02
1.007329466253404426e+01 1.822444329081477354e+00 2.478215750965579237e-02
1.003286999572591043e+01 1.813753073348560507e+00 2.452694989985220592e-02
9.992595937419356034e+00 1.804947540244792981e+00 2.428017228355967144e-02
9.952506945620159584e+00 1.796039249961585149e+00 2.404156285914877539e-02
9.912635454091093479e+00 1.787039136247138282e+00 2.381113651658274197e-02
9.873012622469262922e+00 1.777957677417761895e+00 2.358898823645503434e-02
9.833667573896679670e+00 1.768804827164487614e+00 2.337472169615557177e-02
9.794627869843115064e+00 1.759590037821237241e+00 2.316853028262136349e-02
9.755920827850657062e+00 1.750322650693242332e+00 2.296986743302231390e-02
9.717570847094069819e+00 1.741011249741858169e+00 2.277912628115256674e-02
9.679602422961393060e+00 1.731664392950942544e+00 2.259595651072056691e-02
9.642038438062066064e+00 1.722290155628614094e+00 2.242016808745232737e-02
9.604900849731762946e+00 1.712896343884211081e+00 2.225166138028358831e-02
9.568210621694134943e+00 1.703490533316773359e+00 2.209043333539092296e-02
9.531987847345256171e+00 1.694079940138934814e+00 2.193631075616666454e-02
9.496251151272057101e+00 1.684671477790917526e+00 2.178957457417008206e-02
9.461019074025200482e+00 1.675271991477620404e+00 2.164889147042751288e-02
9.426309015653467682e+00 1.665887929630848641e+00 2.151579179394723373e-02
9.392137514661953901e+00 1.656525569239309714e+00 2.138916128524656277e-02
9.358520262590927175e+00 1.647191001779816366e+00 2.126938397669656672e-02
9.325472892473348097e+00 1.637890122745408128e+00 2.115577471740891918e-02
9.293009709604525881e+00 1.628628573094016208e+00 2.104876497385303052e-02
9.261144458855213202e+00 1.619411845821896678e+00 2.094822605881044991e-02
9.229890349174908692e+00 1.610245228369160175e+00 2.085358572978584027e-02
9.199260195018236885e+00 1.601133890479230049e+00 2.076546821515515284e-02
9.169265659322920925e+00 1.592082732497155151e+00 2.068320375805686798e-02
9.139918366392068449e+00 1.583096595026946884e+00 2.060691308896646368e-02
9.111229125935315309e+00 1.574180124925090629e+00 2.053674815409576790e-02
9.083208294684347095e+00 1.565337809952327186e+00 2.047200057232555909e-02
9.055865374823099501e+00 1.556573969826115844e+00 2.041354324959021929e-02
9.029209782727081191e+00 1.547892865288012176e+00 2.036050618545414553e-02
9.003250144374067787e+00 1.539298524842164007e+00 2.031296385726100162e-02
8.977994760723490231e+00 1.530794936574098930e+00 2.027097741520030375e-02
